*** Installation started 2013/07/18 11:25 ***
Source: C:\Users\dlu\Downloads\mahotas-1.0.2.win32-py2.7.exe
999 Root Key: HKEY_LOCAL_MACHINE
020 Reg DB Key: [Software\Microsoft\Windows\CurrentVersion\Uninstall]mahotas-py2.7
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\mahotas-py2.7]DisplayName=Python 2.7 mahotas-1.0.2
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\mahotas-py2.7]UninstallString="D:\Python27\Removemahotas.exe" -u "D:\Python27\mahotas-wininst.log"
100 Made Dir: D:\Python27\Lib\site-packages\mahotas
200 File Copy: D:\Python27\Lib\site-packages\mahotas\bbox.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\bwperim.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\center_of_mass.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\colors.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\convolve.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\distance.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\edge.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\euler.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\freeimage.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\histogram.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\internal.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\interpolate.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\labeled.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\lbp.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\mahotas_version.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\moments.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\morph.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\polygon.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\resize.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\segmentation.py
200 File Copy: D:\Python27\Lib\site-packages\mahotas\stretch.py
